row_family,case_id,split_role,model_form,runtime_inputs_allowed,fit_source,score_source,admission_class,forward_v1_use,blocker,source_path
realized_wallHeatFlux_replay,salt_2,train,F1_heater_only:downcomer,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
realized_wallHeatFlux_replay,salt_2,train,F1_heater_only:junction,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
realized_wallHeatFlux_replay,salt_3,validation,F1_heater_only:lower_leg,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
realized_wallHeatFlux_replay,salt_3,validation,F1_heater_only:upcomer,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
realized_wallHeatFlux_replay,salt_3,validation,F1_heater_only:cooling_branch,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
realized_wallHeatFlux_replay,salt_3,validation,F1_heater_only:downcomer,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
realized_wallHeatFlux_replay,salt_3,validation,F1_heater_only:junction,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
realized_wallHeatFlux_replay,salt_4,holdout,F1_heater_only:lower_leg,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
realized_wallHeatFlux_replay,salt_4,holdout,F1_heater_only:upcomer,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
realized_wallHeatFlux_replay,salt_4,holdout,F1_heater_only:cooling_branch,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
realized_wallHeatFlux_replay,salt_4,holdout,F1_heater_only:downcomer,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
realized_wallHeatFlux_replay,salt_4,holdout,F1_heater_only:junction,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
imposed_cooler_duty,salt_2,train,imposed_cfd_cooler_upper_bound,CFD cooler duty consumed; predictive runtime not allowed,Salt2 or direct CFD-duty construction,Salt3/Salt4 leakage benchmark,diagnostic_upper_bound,leakage_warning_or_best_possible_cooler_bound_only,uses CFD imposed/realized cooler evidence; never report as predictive HX closure,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_model_scores.csv
imposed_cooler_duty,salt_2,train,salt2_fit_cooler_imposed_ratio,CFD cooler duty consumed; predictive runtime not allowed,Salt2 or direct CFD-duty construction,Salt3/Salt4 leakage benchmark,diagnostic_upper_bound,leakage_warning_or_best_possible_cooler_bound_only,uses CFD imposed/realized cooler evidence; never report as predictive HX closure,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_model_scores.csv
imposed_cooler_duty,salt_3,validation,imposed_cfd_cooler_upper_bound,CFD cooler duty consumed; predictive runtime not allowed,Salt2 or direct CFD-duty construction,Salt3/Salt4 leakage benchmark,diagnostic_upper_bound,leakage_warning_or_best_possible_cooler_bound_only,uses CFD imposed/realized cooler evidence; never report as predictive HX closure,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_model_scores.csv
imposed_cooler_duty,salt_3,validation,salt2_fit_cooler_imposed_ratio,CFD cooler duty consumed; predictive runtime not allowed,Salt2 or direct CFD-duty construction,Salt3/Salt4 leakage benchmark,diagnostic_upper_bound,leakage_warning_or_best_possible_cooler_bound_only,uses CFD imposed/realized cooler evidence; never report as predictive HX closure,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_model_scores.csv
imposed_cooler_duty,salt_4,holdout,imposed_cfd_cooler_upper_bound,CFD cooler duty consumed; predictive runtime not allowed,Salt2 or direct CFD-duty construction,Salt3/Salt4 leakage benchmark,diagnostic_upper_bound,leakage_warning_or_best_possible_cooler_bound_only,uses CFD imposed/realized cooler evidence; never report as predictive HX closure,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_model_scores.csv
imposed_cooler_duty,salt_4,holdout,salt2_fit_cooler_imposed_ratio,CFD cooler duty consumed; predictive runtime not allowed,Salt2 or direct CFD-duty construction,Salt3/Salt4 leakage benchmark,diagnostic_upper_bound,leakage_warning_or_best_possible_cooler_bound_only,uses CFD imposed/realized cooler evidence; never report as predictive HX closure,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_model_scores.csv
test_section_negative_source,salt_2,train,negative_source_compatibility,diagnostic source-form replay only,not_fit,compatibility screen,diagnostic_replay,boundary_form_screen_and_residual_localization_only,compatibility check is not physical boundary-condition proof and not a predictive source model,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/test_section_boundary_form_bakeoff/test_section_model_result_ledger.csv
test_section_negative_source,salt_3,validation,negative_source_compatibility,diagnostic source-form replay only,not_fit,compatibility screen,diagnostic_replay,boundary_form_screen_and_residual_localization_only,compatibility check is not physical boundary-condition proof and not a predictive source model,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/test_section_boundary_form_bakeoff/test_section_model_result_ledger.csv
test_section_negative_source,salt_4,holdout,negative_source_compatibility,diagnostic source-form replay only,not_fit,compatibility screen,diagnostic_replay,boundary_form_screen_and_residual_localization_only,compatibility check is not physical boundary-condition proof and not a predictive source model,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/test_section_boundary_form_bakeoff/test_section_model_result_ledger.csv
