case_id,time_window_s,qoi,value,units,finite_evidence,evidence_status,production_ready,admission_ready,blocking_reason,source_path
salt_3,7618,wall_core_bulk_temperature_contrast,-0.154280008347,K,true,limited_sampled_proxy_ready,false,false,"wall-owner T exists, but wall T is not wallHeatFlux or Q_wall_W",work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_3,7618,Q_wall_W_or_source_side_equivalent,183.730361326,W,true,blocked_static_context_only,false,false,q_net_W is static source/sink context and is not a released Q_wall_W or approved equivalent,work_products/2026-07/2026-07-21/2026-07-21_s13_seeded_heat_path_lane_release/qwall_contract.csv
salt_3,7618,pressure_residual_basis,,,false,blocked_missing_pressure_basis,false,false,p/p_rgh basis is absent from the released S13 field inventory,work_products/2026-07/2026-07-21/2026-07-21_s13_seeded_heat_path_lane_release/field_inventory.csv
salt_3,7618,energy_residual_basis,,,false,blocked_missing_Qwall_cp_pressure_UQ,false,false,"energy residual needs Q_wall_W, cp, exchange enthalpy terms, source signs, and same-QOI UQ",work_products/2026-07/2026-07-21/2026-07-21_s13_seeded_heat_path_lane_release/qwall_contract.csv
salt_3,7618,same_qoi_uq,,,false,blocked_missing_same_qoi_UQ,false,false,same-window neighbor and same-QOI mesh/GCI evidence remain unreleased,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_same_window_uq_design/qoi_release_decision.csv
salt_4,10000,V_recirc,1.19084663056e-05,m3,true,diagnostic_proxy_ready,false,false,"finite seeded CV volume exists, but exact same-QOI UQ is absent",work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_average_field_thermal_reduction/diagnostic_average_exchange_metrics.csv
salt_4,10000,interface_area,0.0623473180949,m2,true,sampled_geometry_ready,false,false,"released interface area exists, but this is geometry support rather than a production QOI",work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_4,10000,mdot_exchange,7.65896288069e-05,kg/s,true,limited_sampled_proxy_ready,false,false,"sampled U/rho proxy exists, but no same-QOI UQ or production harvest gate exists",work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_4,10000,tau_recirc,301.390653047,s,true,diagnostic_proxy_ready,false,false,"finite tau proxy exists, but no same-QOI UQ or admitted exchange-state definition exists",work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_sampler_manifest_refresh_from_seeded_proxy/sampler_proxy_manifest.csv
salt_4,10000,wall_core_bulk_temperature_contrast,-0.17053292931,K,true,limited_sampled_proxy_ready,false,false,"wall-owner T exists, but wall T is not wallHeatFlux or Q_wall_W",work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_limited_sampled_field_scheduler_extraction/sampled_field_summary.csv
salt_4,10000,Q_wall_W_or_source_side_equivalent,205.373184962,W,true,blocked_static_context_only,false,false,q_net_W is static source/sink context and is not a released Q_wall_W or approved equivalent,work_products/2026-07/2026-07-21/2026-07-21_s13_seeded_heat_path_lane_release/qwall_contract.csv
salt_4,10000,pressure_residual_basis,,,false,blocked_missing_pressure_basis,false,false,p/p_rgh basis is absent from the released S13 field inventory,work_products/2026-07/2026-07-21/2026-07-21_s13_seeded_heat_path_lane_release/field_inventory.csv
salt_4,10000,energy_residual_basis,,,false,blocked_missing_Qwall_cp_pressure_UQ,false,false,"energy residual needs Q_wall_W, cp, exchange enthalpy terms, source signs, and same-QOI UQ",work_products/2026-07/2026-07-21/2026-07-21_s13_seeded_heat_path_lane_release/qwall_contract.csv
salt_4,10000,same_qoi_uq,,,false,blocked_missing_same_qoi_UQ,false,false,same-window neighbor and same-QOI mesh/GCI evidence remain unreleased,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_same_window_uq_design/qoi_release_decision.csv
