claim_id,quantity,value,units,case_or_scope,split_role,source_path,allowed_thesis_claim,forbidden_overclaim,target_section,uncertainty_or_admission_label,figure_table_target
NUM-012,finite_signed_sensor_error_rows,180,rows,model-form scoreboard,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/summary.json,Finite signed-error rows are available for diagnostic shape plots,Do not use missing or excluded sensors to force a complete score,Ch7,diagnostic_context,m3_signed_sensor_error_shape
NUM-013,recommended_model_forms_to_try,6,rows,model-form scoreboard,study planning,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/summary.json,Six recommended model forms define a next-study queue,Do not present recommended forms as released candidates,Ch8,dispatch_only,recommended_model_forms_to_try
NUM-014,D2_transfer_TP_RMSE,4.38159298515,K,D2 TP transfer,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/summary.json,TP-first projection reduced transfer TP RMSE relative to M3 in a diagnostic study,Do not claim released bulk-to-TP correction or validation score,Ch7,diagnostic_no_correction_release,d2_tp_tw_projection_transfer_rmse
NUM-015,M3_transfer_TP_RMSE,13.5673279702,K,M3 TP transfer,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/summary.json,M3 transfer TP RMSE gives context for D2 improvement,Do not call M3 a frozen final model,Ch7,diagnostic_context,d2_tp_tw_projection_transfer_rmse
NUM-016,D2_transfer_TW_RMSE,12.5130610954,K,D2 TW transfer,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/summary.json,TW remains harder after TP projection and needs wall/source ownership analysis,Do not release TW correction or absorb residual into internal Nu,Ch7,diagnostic_no_correction_release,d2_tp_tw_projection_transfer_rmse
NUM-017,M3_transfer_TW_RMSE,18.980361511,K,M3 TW transfer,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/summary.json,M3 TW transfer RMSE gives context for remaining wall residual,Do not report this as validation or final score,Ch7,diagnostic_context,d2_tp_tw_projection_transfer_rmse
NUM-018,M3_train_TP_mean_signed_error,-15.091422693,K,M3 train TP rows,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_mf12_bulk_to_tp_formula_gate/summary.json,M3 train TP bias motivates a bulk-to-probe projection study,Do not tune a released correction from this bias alone,Ch7,diagnostic_projection_signal,bulk_to_tp_formula_gate
NUM-019,MF12_candidate_formula_rows,4,rows,bulk-to-TP formula gate,study planning,work_products/2026-07/2026-07-22/2026-07-22_mf12_bulk_to_tp_formula_gate/summary.json,Four candidate formula families are documented for later source-bounded review,Do not release any bulk-to-TP formula now,Ch5/Ch8,blocked_no_correction_release,bulk_to_tp_formula_gate
NUM-020,MF12_sensor_evidence_rows,10,rows,bulk-to-TP formula gate,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_mf12_bulk_to_tp_formula_gate/summary.json,Ten sensor-evidence rows support the projection problem statement,Do not use sensor temperatures as predictive runtime inputs,Ch6/Ch7,runtime_temperature_forbidden,bulk_to_tp_formula_gate
NUM-021,D3_transfer_RMSE,8.38846755024,K,D3 wall-shape transfer,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_mf_d3_wall_shape_axial_mixing_gate/summary.json,D3 wall-shape signal is a strong diagnostic residual-shape result,Do not admit runtime wall-profile correction or source-bounded coefficient,Ch7,diagnostic_not_admitted,D3_wall_shape_gate
NUM-022,D3_transfer_local_shape_RMSE_after_bias,7.93285020379,K,D3 wall-shape transfer,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_mf_d3_wall_shape_axial_mixing_gate/summary.json,Local shape remains after bias and motivates wall/axial-mixing evidence,Do not treat this as an admitted wall model,Ch7,diagnostic_not_admitted,D3_wall_shape_gate
NUM-023,D3_transfer_RMSE_reduction_vs_M3,51.6919381995,percent,D3 wall-shape transfer,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_mf_d3_wall_shape_axial_mixing_gate/summary.json,D3 improves transfer error enough to justify a mechanism study,Do not publish it as final predictive improvement,Ch7/Ch8,diagnostic_not_admitted,D3_wall_shape_gate
NUM-024,D3_candidate_ready_rows,0,rows,D3 wall-shape gate,admission gate,work_products/2026-07/2026-07-22/2026-07-22_mf_d3_wall_shape_axial_mixing_gate/summary.json,D3 has no candidate-ready rows,Do not freeze or admit D3,Ch8,blocked_no_candidate_release,D3_wall_shape_gate
NUM-025,D4_transfer_RMSE,7.94040349151,K,D4 segment source-placement transfer,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_mf_d4_segment_source_placement_evidence_gate/summary.json,D4 segment source placement gives the strongest current diagnostic transfer signal,Do not claim source-bounded repair or final score,Ch7,diagnostic_not_admitted,D4_source_placement_gate
NUM-026,D4_transfer_mean_signed_error,3.48615119164,K,D4 segment source-placement transfer,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_mf_d4_segment_source_placement_evidence_gate/summary.json,D4 transfer retains a positive mean signed error,Do not claim complete thermal closure,Ch7,diagnostic_not_admitted,D4_source_placement_gate
NUM-027,D4_transfer_RMSE_reduction_vs_M3,54.272279139,percent,D4 segment source-placement transfer,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_mf_d4_segment_source_placement_evidence_gate/summary.json,D4 is an empirical upper-bound signal for source-placement priority,Do not publish it as an admitted predictive model,Ch7/Ch8,diagnostic_not_admitted,D4_source_placement_gate
NUM-028,D4_source_bounded_candidate_ready_rows,0,rows,D4 source-placement gate,admission gate,work_products/2026-07/2026-07-22/2026-07-22_mf_d4_segment_source_placement_evidence_gate/summary.json,D4 has no source-bounded candidate-ready rows,Do not release source placement correction,Ch8,blocked_no_source_bounded_candidate,D4_source_placement_gate
NUM-029,pressure_section_effective_rows,3,rows,lower-right two-tap pressure basis,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/summary.json,Three section-effective pressure rows are available,Do not convert section residuals to component K or F6 closure,Ch7,pressure_diagnostic_negative,section_effective_residual_values
NUM-030,pressure_component_K_admitted_rows,0,rows,pressure basis,admission gate,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/summary.json,No component-K rows are admitted,Do not claim ordinary K or clipped K admission,Ch6/Ch7,pressure_admission_blocked,pressure_non_admission_gate_matrix
NUM-031,pressure_F6_fit_rows,0,rows,pressure basis,admission gate,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/summary.json,No F6 fit rows are admitted,Do not fit F6 or claim F3/F6 numeric comparison,Ch6/Ch7,pressure_admission_blocked,pressure_non_admission_gate_matrix
NUM-032,salt2_frozen_diagnostic_transfer_max_abs_error,0.47046606946166093438399,Pa,hybrid pressure transfer diagnostic,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/summary.json,Hybrid pressure transfer error is small enough to motivate residual-basis discussion,Do not treat this as candidate review or admission,Ch7,diagnostic_negative_result,pressure_basis_ladder
NUM-033,salt2_lower_right_available_signed_residual,-1.25366731683,Pa,salt_2 lower_leg_s04_to_right_leg_s00,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/section_effective_residual_values.csv,Salt2 lower-right pressure residual is small and negative after hydrostatic/kinetic correction,Do not clip negative residual or infer ordinary single-stream loss,Ch7,not_admitted_for_component_K_or_F6,section_effective_residual_values
NUM-034,salt3_lower_right_available_signed_residual,-1.84957005859,Pa,salt_3 lower_leg_s04_to_right_leg_s00,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/section_effective_residual_values.csv,Salt3 lower-right pressure residual is small and negative after hydrostatic/kinetic correction,Do not clip negative residual or infer ordinary single-stream loss,Ch7,not_admitted_for_component_K_or_F6,section_effective_residual_values
NUM-035,salt4_lower_right_available_signed_residual,-1.67833900273,Pa,salt_4 lower_leg_s04_to_right_leg_s00,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/section_effective_residual_values.csv,Salt4 lower-right pressure residual is small and negative after hydrostatic/kinetic correction,Do not clip negative residual or infer ordinary single-stream loss,Ch7,not_admitted_for_component_K_or_F6,section_effective_residual_values
NUM-036,salt2_lower_right_reverse_area_fraction,0.763078957263,fraction,salt_2 lower_leg_s04_to_right_leg_s00,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/section_effective_residual_values.csv,Large reverse-area fraction explains why ordinary component pressure assumptions fail,Do not use this as a closed recirculation fraction,Ch7,proxy_not_closed_fraction,section_effective_residual_values
NUM-037,salt2_lower_right_reverse_mass_fraction,0.499996018691,fraction,salt_2 lower_leg_s04_to_right_leg_s00,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/section_effective_residual_values.csv,Large reverse-mass fraction supports recirculation-aware pressure basis,Do not use this as an admitted pressure coefficient,Ch7,proxy_not_admitted_closure,section_effective_residual_values
NUM-038,salt2_trusted_wall_Q_wall,23.1161370708,W,salt_2 target window 7915,diagnostic train/context,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_same_qoi_neighbor_uq_execution/target_qoi_evidence.csv,Salt2 exact trusted-wall Qwall diagnostic is finite,Do not release Qwall as source/property or runtime input,Ch7,S13_Qwall_diagnostic_only,s13_predictive_path_status
NUM-039,salt3_trusted_wall_Q_wall,25.3465488205,W,salt_3 target window 7618,diagnostic train/context,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_same_qoi_neighbor_uq_execution/target_qoi_evidence.csv,Salt3 exact trusted-wall Qwall diagnostic is finite,Do not release Qwall as source/property or runtime input,Ch7,S13_Qwall_diagnostic_only,s13_predictive_path_status
NUM-040,salt4_trusted_wall_Q_wall,28.1231837021,W,salt_4 target window 10000,diagnostic train/context,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_same_qoi_neighbor_uq_execution/target_qoi_evidence.csv,Salt4 exact trusted-wall Qwall diagnostic is finite,Do not release Qwall as source/property or runtime input,Ch7,S13_Qwall_diagnostic_only,s13_predictive_path_status
NUM-041,recirculation_proxy_volume,1.19084663056e-05,m3,S13 current-coarse Salt2/Salt3/Salt4,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/s13_exchange_tau_proxy_table.csv,A common current-coarse recirculation proxy volume is available for S13 diagnostics,Do not claim admitted closed recirculation volume,Ch7,proxy_not_closed_fraction,s13_exchange_tau_proxy_table
NUM-042,salt2_tau_recirc_proxy,868.807159089,s,salt_2 target window 7915,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/s13_exchange_tau_proxy_table.csv,Salt2 recirculation residence-time proxy supports exchange-timescale discussion,Do not admit exchange-cell coefficient,Ch7,diagnostic_current_coarse_proxy,s13_exchange_tau_proxy_table
NUM-043,salt3_tau_recirc_proxy,547.838912867,s,salt_3 target window 7618,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/s13_exchange_tau_proxy_table.csv,Salt3 recirculation residence-time proxy supports exchange-timescale discussion,Do not admit exchange-cell coefficient,Ch7,diagnostic_current_coarse_proxy,s13_exchange_tau_proxy_table
NUM-044,salt4_tau_recirc_proxy,301.390653047,s,salt_4 target window 10000,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/s13_exchange_tau_proxy_table.csv,Salt4 recirculation residence-time proxy supports exchange-timescale discussion,Do not admit exchange-cell coefficient,Ch7,diagnostic_current_coarse_proxy,s13_exchange_tau_proxy_table
NUM-045,MF17_same_QOI_temporal_UQ_labels,4,labels,wall-core exchange UQ,diagnostic UQ,work_products/2026-07/2026-07-22/2026-07-22_mf17_same_qoi_wall_core_exchange_uq_execution/qoi_temporal_uq_execution_summary.csv,Same-QOI temporal UQ has been executed for four diagnostic labels,Do not infer mesh/GCI production or admission,Ch6/Ch7,UQ_temporal_only_no_mesh_GCI,qoi_temporal_uq_execution_summary
NUM-046,Qwall_max_abs_temporal_uncertainty,0.0010252426,W,Q_wall_W across Salt2/Salt3/Salt4,diagnostic UQ,work_products/2026-07/2026-07-22/2026-07-22_mf17_same_qoi_wall_core_exchange_uq_execution/qoi_temporal_uq_execution_summary.csv,Qwall temporal neighbor uncertainty is small on current-coarse cases,Do not use temporal UQ alone as production uncertainty or admission,Ch6/Ch7,UQ_temporal_only_no_mesh_GCI,qoi_temporal_uq_execution_summary
NUM-047,MF17_production_use_allowed_now,0,boolean-as-count,wall-core exchange UQ,admission gate,work_products/2026-07/2026-07-22/2026-07-22_mf17_same_qoi_wall_core_exchange_uq_execution/qoi_temporal_uq_execution_summary.csv,Production use remains closed even after temporal UQ,Do not admit wall/core exchange coefficients,Ch8,blocked_mesh_GCI_source_property,qoi_temporal_uq_execution_summary
NUM-048,salt2_reverse_candidate_fraction_right_leg_roi,0.157702688614,fraction,salt_2 right-leg ROI,diagnostic topology proxy,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/reverse_flow_topology_proxy.csv,Salt2 has a finite reverse-flow topology proxy,Do not call this an admitted recirculation fraction,Ch7,proxy_not_closed_fraction,upcomer_velocity_figure_composite
NUM-049,salt3_reverse_candidate_fraction_right_leg_roi,0.160299790332,fraction,salt_3 right-leg ROI,diagnostic topology proxy,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/reverse_flow_topology_proxy.csv,Salt3 has a finite reverse-flow topology proxy,Do not call this an admitted recirculation fraction,Ch7,proxy_not_closed_fraction,upcomer_velocity_figure_composite
NUM-050,salt4_reverse_candidate_fraction_right_leg_roi,0.162167108784,fraction,salt_4 right-leg ROI,diagnostic topology proxy,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/reverse_flow_topology_proxy.csv,Salt4 has a finite reverse-flow topology proxy,Do not call this an admitted recirculation fraction,Ch7,proxy_not_closed_fraction,upcomer_velocity_figure_composite
NUM-051,thermal_heat_path_ledger_rows,10,rows,thermal accounting packet,diagnostic accounting,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/summary.json,Thermal residual ownership is separated across ten heat-path ledger rows,Do not collapse residual owners into one fitted Nu or one multiplier,Ch5/Ch7,accounting_context_only,thermal_accounting_traceability_ledger
NUM-052,thermal_setup_source_sink_rows,12,rows,thermal accounting packet,setup metadata,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/summary.json,Twelve setup source/sink rows provide source/sink provenance,Do not infer source/property release from setup values alone,Ch5/Ch6,setup_metadata_not_runtime_release,setup_source_sink_values
NUM-053,thermal_diagnostic_heat_value_rows,15,rows,thermal accounting packet,diagnostic accounting,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/summary.json,Fifteen diagnostic heat-value rows support heat-path attribution,Do not use realized CFD heat values as predictive runtime inputs,Ch7,diagnostic_only_for_traceability,diagnostic_heat_values_by_case_role
NUM-054,thermal_missing_setup_field_rows,5,rows,thermal accounting packet,blocker,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/summary.json,Five missing setup-field rows remain blockers for release,Do not freeze source/property candidate before these are resolved,Ch8,blocked_source_property,missing_setup_fields
NUM-055,thermal_runtime_forbidden_input_rows,7,rows,thermal accounting packet,runtime-contract,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/summary.json,Seven thermal runtime-forbidden input rows protect against leakage,Do not use realized wallHeatFlux cooler duty or validation temperature inputs,Ch6,runtime_leakage_guardrail,runtime_forbidden_input_audit
NUM-056,setup_heater_total,1133.1,W,Salt1-Salt4 setup source/sink values,setup metadata,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/summary.json,Heater setup total is available as accounting context,Do not infer released source/property candidate from setup total alone,Ch5/Ch7,accounting_context_only,setup_source_sink_values
NUM-057,setup_cooler_total,-449.96244353013935,W,Salt1-Salt4 setup source/sink values,setup metadata,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/summary.json,Cooler setup-role total is available as accounting context,Do not use realized cooler duty as predictive input,Ch5/Ch7,accounting_context_only,setup_source_sink_values
NUM-058,setup_test_section_total,148.0,W,Salt1-Salt4 setup source/sink values,setup metadata,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/summary.json,Test-section setup-role total is available as accounting context,Do not release realized test-section heat or residual-fit multiplier,Ch5/Ch7,accounting_context_only,setup_source_sink_values
NUM-059,passive_wall_segment_rows,12,rows,thermal accounting packet,diagnostic accounting,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/summary.json,Twelve passive wall segment response rows localize passive heat-path evidence,Do not admit a passive wall repair,Ch7,thermal_passive_blocked,passive_wall_segment_response
NUM-060,global_passive_half_TW5_improvement,51.63369382647278,K,M2 passive wall test-section gate,train-only diagnostic sensitivity,work_products/2026-07/2026-07-22/2026-07-22_m2_passive_wall_test_section_source_bounded_repair_gate/summary.json,Global passive hA half response is a broad diagnostic signal,Do not choose a global hA multiplier as repair or final model,Ch7,diagnostic_negative_result,passive_wall_segment_response
NUM-061,lower_leg_half_TW5_improvement,4.59310690807564,K,M2 passive wall test-section gate,train-only diagnostic sensitivity,work_products/2026-07/2026-07-22/2026-07-22_m2_passive_wall_test_section_source_bounded_repair_gate/summary.json,Lower-leg passive hA half response is much smaller than global response,Do not claim source-bounded local passive repair,Ch7,diagnostic_negative_result,passive_wall_segment_response
NUM-062,global_to_lower_passive_response_ratio,11.241561509419686,ratio,M2 passive wall test-section gate,train-only diagnostic sensitivity,work_products/2026-07/2026-07-22/2026-07-22_m2_passive_wall_test_section_source_bounded_repair_gate/summary.json,The broad-to-local response ratio supports residual-owner separation,Do not use it as a fitted thermal closure coefficient,Ch7,diagnostic_negative_result,passive_wall_segment_response
NUM-063,source_property_atlas_rows,11,rows,source/property release atlas,release gate,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_source_property_release_atlas/summary.json,Eleven source/property families are mapped to release state,Do not claim source/property release from labels alone,Ch6/Ch8,source_property_blocked,source_property_release_atlas
NUM-064,nominal_train_rows_reviewed,4,rows,source/property release atlas,train context,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_source_property_release_atlas/summary.json,Four nominal train rows were reviewed for source/property status,Do not score or freeze from review status alone,Ch6,source_property_blocked,nominal_train_release_context
NUM-065,source_property_release_ready_rows,0,rows,source/property release atlas,release gate,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_source_property_release_atlas/summary.json,No source/property row is release-ready,Do not claim source/property release or candidate freeze,Ch6/Ch8,source_property_blocked,source_property_release_atlas
NUM-066,protected_rows_released,0,rows,source/property release atlas,protected split,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_source_property_release_atlas/summary.json,No protected rows are released,Do not use holdout or external rows for model selection,Ch4/Ch6,protected_score_blocked,protected_row_release_audit
NUM-067,N4_sensor_rows,17,rows,sensor/QOI projection table,score-only,work_products/2026-07/2026-07-22/2026-07-22_thesis_n4_sensor_qoi_projection_uncertainty_table/summary.json,Seventeen sensor rows are classified for score-only projection,Do not use validation temperatures as runtime inputs,Ch6,sensor_score_only,sensor_qoi_projection_table
NUM-068,N4_bounded_sensor_rows,15,rows,sensor/QOI projection table,score-only,work_products/2026-07/2026-07-22/2026-07-22_thesis_n4_sensor_qoi_projection_uncertainty_table/summary.json,Fifteen sensors have bounded provisional placement,Do not make exact-coordinate claims for bounded sensors,Ch6,coordinate_uncertainty_bounded,sensor_uncertainty_caveat_table
NUM-069,N4_mapped_sensor_rows,1,row,sensor/QOI projection table,score-only,work_products/2026-07/2026-07-22/2026-07-22_thesis_n4_sensor_qoi_projection_uncertainty_table/summary.json,One sensor has mapped projection status,Do not make runtime-temperature input claims,Ch6,sensor_score_only,sensor_qoi_projection_table
NUM-070,N4_excluded_sensor_rows,1,row,sensor/QOI projection table,score-only,work_products/2026-07/2026-07-22/2026-07-22_thesis_n4_sensor_qoi_projection_uncertainty_table/summary.json,One sensor row is excluded from aggregate scoring,Do not force TW10 into a score unless the model emits its state,Ch6/Ch7,excluded_score_target,TW10_exclusion
NUM-071,N4_runtime_temperature_allowed_rows,0,rows,sensor/QOI projection table,runtime-contract,work_products/2026-07/2026-07-22/2026-07-22_thesis_n4_sensor_qoi_projection_uncertainty_table/summary.json,Zero validation-temperature rows are runtime-allowed,Do not use validation temperature targets in predictive runtime claims,Ch6,runtime_temperature_forbidden,sensor_runtime_input_audit
NUM-072,thesis_figure_panels,6,panels,model-form and blocked-scorecard panel packet,figure support,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/summary.json,Six thesis communication panels are ready without closure admission,Do not infer closure admission from figure readiness,Ch7/Ch8,figure_support_no_admission,figure_panel_manifest
NUM-073,TP_temperature_elevation_panel_rows,18,rows,model-form and blocked-scorecard panel packet,figure support,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/summary.json,Eighteen TP temperature-elevation rows are available for diagnostic panels,Do not call M3 a complete or final temperature prediction,Ch7,figure_support_no_admission,TP_TW_temperature_elevation_panels
NUM-074,missing_M3_TP_predictions_marked,3,rows,model-form and blocked-scorecard panel packet,figure support,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/summary.json,Three missing M3 TP predictions are explicitly marked,Do not hide missing predictions in figure captions,Ch7,figure_support_no_admission,TP_TW_temperature_elevation_panels
NUM-075,finite_M3_signed_error_panel_rows,45,rows,model-form and blocked-scorecard panel packet,figure support,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/summary.json,Forty-five finite M3 signed-error panel rows support residual-shape discussion,Do not publish these as final predictive score rows,Ch7,figure_support_no_admission,m3_signed_sensor_error_shape
NUM-076,blocked_scorecard_gate_rows,4,rows,model-form and blocked-scorecard panel packet,blocked scorecard,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/summary.json,Four blocked-scorecard gates explain why final score is unavailable,Do not report final accuracy before these gates are resolved,Ch8,blocked_no_final_score,blocked_scorecard_waterfall
NUM-077,final_import_summary_figure_rows,12,rows,final figure import ledger summary,manifest support,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_final_figure_import_ledger/summary.json,The final figure import summary reports twelve selected existing assets,Do not copy broad figure trees or edit external papers repo now,APP,manifest_only_no_asset_copy,final_import_manifest
NUM-078,selected_figure_import_ledger_rows,9,rows,selected figure import ledger file,manifest support,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_final_figure_import_ledger/selected_figure_import_ledger.csv,The selected figure CSV currently contains nine visible figure rows,Do not silently resolve the 12-vs-9 row-count discrepancy without a follow-up audit,APP,manifest_count_discrepancy,selected_figure_import_ledger
