slot_id,model_form_name,family,paper_outline_role,physics_or_equation_slot,runtime_inputs_allowed,forbidden_inputs,current_admission_state,score_status,primary_blocker_or_next_action,source_paths
MF-06,CFD_derived_compartment_or_POD_ROM_hybrid,litrev_model_form,Future surrogate/ROM lane if full-order snapshot ensemble exists,Target chapter: Ch. 9 future work; optional appendix,see required gates and source envelope before runtime use,No predictive accuracy claim without verified FOM and held-out validation.,not_admitted_taxonomy_only,open row TODO-LITREV-TRANSIENT-ROM-PARKING-LOT,Park until verified CFD snapshot ensemble exists.,work_products/2026-07/2026-07-21/2026-07-21_thesis_litrev_csem_incorporation/model_form_thesis_ladder.csv
M5/S13,throughflow_plus_recirculation_exchange_cell,upcomer_exchange_evidence,main candidate escalation for recirculating upcomer,"recirculation CV, exchange mass-flux proxy, residence-time proxy, wall/core/source-side heat-path diagnostics",none released for prediction yet; diagnostic averages and sampled-field evidence only,ordinary upcomer Nu/f_D/K admission; post-solve velocity or wall heat-flux output as runtime input,diagnostic_only_not_admitted,source_side_equivalent_is_smallest_remaining_path_but_production_blocked,Try MF-04/M5 only after exact Qwall/pressure evidence and same-QOI UQ close; use current rows for figures and model motivation.,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_average_field_thermal_reduction/summary.json;work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_sampled_field_qwall_uq_unblock/summary.json;work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/s13_exchange_trend_table.csv
MF-02/two-tap,section_effective_recirc_pressure_residual,section_effective_pressure,negative pressure result and section-effective alternative to ordinary component K,two-tap lower-leg/right-leg section residual under material reverse flow,none for admitted prediction; diagnostic Salt2-frozen transfer check only,component_K; ordinary_single_stream_K; F6_fit; clipped_K; hidden_global_multiplier,not_admitted,diagnostic_transfer_check_not_admitted,Use for thesis pressure figures now; only try admission after nonrecirculating/low-reverse anchors and same-QOI UQ exist.,work_products/2026-07/2026-07-21/2026-07-21_two_tap_section_effective_hybrid_pressure_scorecard/summary.json
S14/F6,ordinary_branch_F6_candidate_screen,ordinary_f6_pressure_screen,branch-use screen for possible ordinary pressure anchors,ordinary branch pressure/F6 gate with recirculation and UQ filters,"none for prediction until endpoint, ordinary-flow, source/property, and same-QOI UQ gates pass","F6 fit, component K, clipped K, hidden multiplier",not_admitted,pressure_F6_use_map_complete_no_admitted_score,Try only after exact endpoint fields and same-QOI UQ; do not use recirculating corners as ordinary F6.,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s14_pressure_f6_nonrecirc_anchor_evidence/summary.json
M6/S6,frozen_final_predictive_candidate,final_frozen_scorecard,"desired final endpoint, currently a blocked scorecard shell",full runtime-legal frozen candidate across locked split,setup inputs and predeclared admitted coefficients only after freeze,"score-target temperatures, post-solve wall heat-flux output, post-solve mass-flow output, scored-row pressure losses, fitting on protected rows",blocked_no_frozen_candidate,blocked_scorecard_shell_no_frozen_candidate,Do not score now; first produce exactly one candidate from S13/S14/thermal residual-owner gates.,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s6_frozen_candidate_scorecard/summary.json
M0_setup_only_baseline,setup-only pressure and thermal baseline,endpoint_baseline,training roster / future model slot,"mdot: pressure root from geometry/property/setup BCs; temperature: segment energy balances with setup-known heater/cooler/passive inputs only; pressure: current Fluid pressure envelope, no fitted section correction",see runtime legality status: legal_contract_exists_but execution still closing,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,not_admitted,validation_score_now=False; can_train_now=False,"active setup-UQ execution and source/property exact-field release are not closed; monitor/close active train-only setup-UQ smoke, then emit M0 train-only diagnostic scores only",work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/master_model_form_scoreboard.csv;work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_execution/summary.json
M3_segment_only_fluid_walls,segment-only fluid+walls comparator,endpoint_comparator,training roster / future model slot,mdot: segment pressure root with current admitted terms; temperature: finite segment energy balances and wall/material stacks; pressure: segment pressure residual attribution,see runtime legality status: partially legal; completed packages include diagnostic numeric context,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,diagnostic_not_admitted,validation_score_now=False; can_train_now=False,full predictive candidate freeze missing; use as comparator in Salt1-4 nominal train-only diagnostics; do not freeze before source/property release,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/master_model_form_scoreboard.csv
MF12_signed_source_memory_bulk_to_TP,signed source-memory bulk-to-TP projection,thermal_projection,training roster / future model slot,mdot: inherits predicted mdot from chosen hydraulic base; temperature: TP = bulk plus signed upstream source/reset/Graetz projection; pressure: none added; pair with M0/M3/MF02/M5 pressure lane,see runtime legality status: conceptually setup-only but missing released source/property fields,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,diagnostic_only_needs_source_basis,validation_score_now=False; can_train_now=False,"runtime legal q_setup/cp/source envelope not released; repair source-property exact-field gate, then run train-only formula ablation on Salt1-4 nominal",work_products/2026-07/2026-07-22/2026-07-22_mf12_bulk_to_tp_formula_gate/candidate_bulk_to_tp_formulas.csv
MF15_wall_core_exchange_operator,source-bounded wall/core exchange operator,thermal_wall_core_exchange,training roster / future model slot,mdot: inherits predicted throughflow plus optional exchange proxy after release; temperature: wall/core contrast and Qwall-supported exchange shape; pressure: none added directly,see runtime legality status: blocked by runtime wall/profile and Qwall production release,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,diagnostic_signal_only,validation_score_now=False; can_train_now=False,predicted wall state and source-bounded exchange coefficient basis missing; finish same-label mesh/GCI and heat-flow match before any coefficient training,work_products/2026-07/2026-07-22/2026-07-22_mf15_runtime_wall_profile_basis_gate/runtime_operator_requirement_matrix.csv;work_products/2026-07/2026-07-22/2026-07-22_mf17_same_qoi_wall_core_exchange_uq_execution/summary.json
MF15_axial_mixing_operator,recirculation-supported axial redistribution operator,thermal_axial_mixing,training roster / future model slot,mdot: throughflow plus guarded recirculation/exchange state after MF04/M5 release; temperature: source-bounded axial redistribution with residence/exchange evidence; pressure: compatible with MF02 or M5 pressure residual lane,see runtime legality status: blocked by recirculation source basis and wall/core release,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,diagnostic_signal_only,validation_score_now=False; can_train_now=False,"exchange proxy cannot be used as an admitted runtime coefficient yet; after S13 exact-label repair, build exchange/recirculation source-bounded coefficient gate",work_products/2026-07/2026-07-22/2026-07-22_mf15_runtime_wall_profile_basis_gate/runtime_operator_requirement_matrix.csv;work_products/2026-07/2026-07-22/2026-07-22_1d_recirculation_switch_dry_contract/recirculation_switch_lane_contract.csv
M5_MF04_throughflow_recirculation_exchange_cell,throughflow plus recirculation exchange cell,recirculating_upcomer,training roster / future model slot,"mdot: throughflow branch plus guarded exchange cell; temperature: separate throughflow/core and recirculating cell energy exchange; pressure: section-effective pressure residual lane, not ordinary upcomer K",see runtime legality status: dry contract ready; quantitative Qwall/source-property release not ready,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,not_admitted,validation_score_now=False; can_train_now=False,"exact Qwall/source-side and same-label mesh/GCI gates; complete S13 sampler repair, then train only a predeclared exchange-cell structure on Salt1-4 nominal",work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/master_model_form_scoreboard.csv;work_products/2026-07/2026-07-22/2026-07-22_1d_recirculation_switch_dry_contract/summary.json
M2_passive_wall_test_section_source_bounded_repair,passive wall/test-section physical-basis repair,thermal_source_basis,training roster / future model slot,mdot: inherits base pressure root; temperature: independent passive hA/source-family envelope; no global multiplier; pressure: none added,see runtime legality status: passive family source basis remains weak,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,blocked_no_repair,validation_score_now=False; can_train_now=False,passive hA/source provenance traces through wallHeatFlux or lacks independent basis; do not use global 0.5x hA as fit; admit only a physical source-bounded repair if provenance improves,work_products/2026-07/2026-07-22/2026-07-22_m2_passive_wall_test_section_source_bounded_repair_gate/repair_no_repair_gate.csv
MF07_MF08_MF10_development_reset_signed_wallflux,development/reset plus signed wall-flux branch variants,entrance_development,training roster / future model slot,mdot: hydraulic development/reset variants after ordinary-flow gates; temperature: negative cooler/downcomer cooling development; positive heater development; guarded upcomer handling; pressure: ordinary-flow-only hydraulic development lane,see runtime legality status: promising but source basis and reset/Graetz gates incomplete,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,diagnostic_only,validation_score_now=False; can_train_now=False,"source basis, reset/Graetz, and upcomer guard inputs not released; after source release, train MF10d/MF10e variants on Salt1-4 nominal with upcomer guard predeclared",work_products/2026-07/2026-07-22/2026-07-22_mf07_entrance_development_and_reset_source_basis/candidate_gate.csv;work_products/2026-07/2026-07-22/2026-07-22_mf08_signed_wall_flux_developing_thermal_branches/candidate_gate.csv;work_products/2026-07/2026-07-22/2026-07-22_mf10_entrance_wallflux_train_only_variant_bakeoff/variant_bakeoff_matrix.csv
MF02_two_tap_section_effective_pressure,section-effective pressure residual / two-tap,hydraulic_pressure,training roster / future model slot,mdot: section-effective pressure residual candidate; temperature: none; hydraulic residual attribution only; pressure: two-tap lower-leg/right-leg section residual,see runtime legality status: usable for naming/negative result; coefficient not admitted,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,not_admitted,validation_score_now=False; can_train_now=False,nonrecirculating/low-reverse anchors and exact pressure endpoint evidence; keep as pressure residual owner while thermal forms train; do not fit component K on recirculating rows,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/master_model_form_scoreboard.csv;work_products/2026-07/2026-07-22/2026-07-22_mf02_pressure_mdot_coupling_diagnostic/summary.json
MF01_ordinary_gated_single_stream_F6,ordinary gated single-stream F6 branch,hydraulic_pressure,training roster / future model slot,mdot: ordinary branch fD/K/F6 only where RAF/RMF/SVF gates pass; temperature: none directly; pressure: right_leg/test_section_span ordinary candidates only,see runtime legality status: legal only after ordinary-flow and endpoint gates,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,future_candidate,validation_score_now=False; can_train_now=False,ordinary-flow gate and source endpoint evidence; try only on ordinary lanes after exact endpoint and same-QOI UQ; exclude recirculating upcomer,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/recommended_model_forms_to_try.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s14_pressure_f6_nonrecirc_anchor_evidence/summary.json
D1_D4_bias_correction_diagnostic_family,reduced-degree offset/shape corrections for discrepancy discovery,diagnostic_bias_shape,training roster / future model slot,"mdot: inherits M3 or chosen hydraulic base; temperature: global, sensor-kind, wall-shape, or segment offset correction as diagnostic only; pressure: none added",see runtime legality status: forbidden as final unless coefficients are replaced by physical source-bounded closures,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,diagnostic_not_admitted,validation_score_now=False; can_train_now=False,"empirical residual corrections are not a physical predictive closure; use best D3/D4 shape as hypothesis generator for MF12/MF15, not as final model",work_products/2026-07/2026-07-22/2026-07-22_thesis_suggested_model_form_diagnostic_tests/model_form_scoreboard_append.csv
M6_final_frozen_candidate,single frozen predictive candidate,endpoint_scorecard,training roster / future model slot,mdot: frozen pressure model chosen before protected scoring; temperature: frozen thermal model chosen before protected scoring; pressure: pressure residual attribution emitted with model score,see runtime legality status: requires all runtime inputs and coefficients to be frozen from train/support only,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,blocked_no_frozen_candidate,validation_score_now=False; can_train_now=False,"no runtime-legal frozen candidate; after Salt1-4 nominal training and gate release, freeze one candidate then score validation/holdout exactly once",work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/master_model_form_scoreboard.csv
