symbol_or_term,plain_definition,units,sign_or_basis,source_paths,writer_use,forbidden_use,admission_state
q_i,Dynamic pressure basis,Pa,0.5 rho_i V_i^2,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Use for distributed/local pressure loss slots.","Do not imply component isolation from q_i alone.",model_slot_basis
q_ref,Same-window throughflow dynamic-pressure basis,Pa,net positive mass flux across endpoint surfaces,"reports/thesis_dossier/Chapters_and_sections/current/13_two_tap_recirc_section_effective_pressure_model.md","Use for K_eff_recirc only when denominator is acceptable.","Do not form large coefficients from near-zero throughflow.",diagnostic_basis
Delta_p_drive,Buoyancy driving pressure,Pa,loop integral over rho g dz,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Use to explain natural-circulation pressure balance.","Do not treat as local component loss.",balance_term
Delta_p_loss,Distributed plus local pressure resistance,Pa,positive resistance sum by convention,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Use as pressure-loss architecture.","Do not admit f_i or K_i without row-specific gates.",model_slot
Delta_p_recirc_section,Named recirculating section-effective pressure residual,Pa,Delta_p_rgh minus kinetic/straight/development components,"reports/thesis_dossier/Chapters_and_sections/current/13_two_tap_recirc_section_effective_pressure_model.md","Use for pressure negative-result/model-form narrative.","Do not call ordinary component K, F6, clipped K, or hidden multiplier.",diagnostic_only
f_D,Darcy friction factor,dimensionless,ordinary single-stream pipe meaning unless redefined,"reports/thesis_dossier/Chapters_and_sections/current/04_upcomer_recirculation_modeling.md; reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md","Use as a model slot for admissible single-stream rows.","Do not apply to recirculation-dominated upcomer rows.",blocked_for_recirc_rows
K,Local loss coefficient,dimensionless,requires component/basis/isolation metadata,"reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md; reports/thesis_dossier/Chapters_and_sections/current/13_two_tap_recirc_section_effective_pressure_model.md","Use only as a slot or admitted coefficient with provenance.","Do not promote apparent/static/negative residuals to ordinary component K.",diagnostic_or_blocked
Nu,Nusselt number,dimensionless,internal heat-transfer coefficient basis must be stated,"reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md; reports/thesis_dossier/Chapters_and_sections/current/10_uncertainty_chapter_package.md","Use as a heat-transfer model slot.","Do not absorb wall loss/radiation/cooler/source-placement residuals into Nu.",blocked_until_thermal_gates
TP/TW sensors,Fluid/wall temperature probes,K,score-target labels with coordinate/projection caveats,"reports/thesis_dossier/Chapters_and_sections/current/10_uncertainty_chapter_package.md; reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md","Use for validation residual and sensor-map tables.","Do not use as runtime inputs or fit/model-selection targets unless a later policy changes this.",score_target_only
train/support/holdout/external,Split-role labels,not_applicable,role controls legal use,"reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md","Use in every claim table and packet.","Do not fit/tune/select on holdout or external rows.",guardrail
admitted/diagnostic/blocked,Admission labels,not_applicable,status travels with each coefficient/QOI row,"reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md","Use to qualify all thesis claims.","Do not let a small residual overwrite admission state.",guardrail
